3/1/17,100000,10:12,10:20,JFK
3/2/17,100001,9:11,9:19,LAX
3/3/17,100002,12:01,12:11,ATL
3/4/17,100003,19:02,19:22,ORD
3/5/17,100004,19:01,19:13,LAX
3/6/17,100005,7:18,7:48,SEA
3/7/17,100006,13:01,13:41,LAX
3/8/17,100007,15:13,15:27,SEA
3/9/17,100008,9:18,9:42,ATL
3/10/17,100009,11:03,11:20,ATL
3/11/17,100010,9:17,9:26,JFK
3/12/17,100011,7:19,7:37,ATL
3/13/17,100012,19:24,19:49,ORD
3/14/17,100013,20:11,20:35,ORD
3/15/17,100014,11:22,11:42,SEA
3/16/17,100015,15:16,15:52,LAX
3/17/17,100016,20:09,20:18,JFK
3/18/17,100017,19:05,19:31,LAX
3/19/17,100018,21:13,21:20,SEA
3/20/17,100019,8:24,9:04,MNN
3/21/17,100020,16:10,16:37,ATL
3/22/17,100021,21:18,21:52,ATL
3/23/17,100022,8:30,8:52,LAX
3/24/17,100023,8:01,8:25,ORD
3/25/17,100024,20:09,20:38,MNN
3/26/17,100025,17:00,17:34,MNN
3/27/17,100026,11:19,11:31,JFK
3/28/17,100027,7:06,7:29,ORD
3/1/17,100028,13:12,13:42,SEA
3/2/17,100029,8:05,8:38,ORD
3/3/17,100030,14:28,14:41,ORD
3/4/17,100031,14:22,14:53,ORD
3/5/17,100032,18:30,18:49,JFK
3/6/17,100033,8:05,8:19,SEA
3/7/17,100034,13:00,13:36,SEA
3/8/17,100035,11:08,11:31,ATL
3/9/17,100036,10:13,10:52,LAX
3/10/17,100037,16:30,16:43,JFK
3/11/17,100038,7:14,7:54,MNN
3/12/17,100039,18:12,18:42,ORD
3/13/17,100040,21:20,21:50,LAX
3/14/17,100041,12:02,12:20,LAX
3/15/17,100042,11:03,11:29,ORD
3/16/17,100043,7:03,7:08,ATL
3/17/17,100044,10:17,10:28,ATL
3/18/17,100045,6:02,6:20,JFK
3/19/17,100046,18:04,18:25,ATL
3/20/17,100047,17:15,17:27,JFK
3/21/17,100048,21:14,21:49,LAX
3/22/17,100049,15:02,15:16,ORD
3/23/17,100050,16:23,16:44,LAX
3/24/17,100051,11:16,11:22,ORD
3/25/17,100052,17:04,17:43,SEA
3/26/17,100053,15:20,15:30,LAX
3/27/17,100054,14:16,14:44,MNN
3/28/17,100055,17:24,17:43,SEA
3/1/17,100056,16:20,16:39,ATL
3/2/17,100057,12:25,12:45,ATL
3/3/17,100058,13:06,13:44,ORD
3/4/17,100059,17:23,17:29,ORD
3/5/17,100060,14:15,14:36,LAX
3/6/17,100061,17:14,17:41,SEA
3/7/17,100062,8:07,8:18,JFK
3/8/17,100063,21:06,21:32,SEA
3/9/17,100064,21:19,21:24,SEA
3/10/17,100065,17:25,17:35,ORD
3/11/17,100066,9:29,9:58,MNN
3/12/17,100067,12:15,12:31,MNN
3/13/17,100068,16:02,16:32,ORD
3/14/17,100069,18:23,18:33,ORD
3/15/17,100070,11:05,11:18,MNN
3/16/17,100071,10:18,10:52,LAX
3/17/17,100072,10:19,10:54,MNN
3/18/17,100073,17:04,17:44,MNN
3/19/17,100074,10:00,10:05,ATL
3/20/17,100075,9:16,9:29,MNN
3/21/17,100076,12:26,12:44,ORD
3/22/17,100077,14:06,14:29,LAX
3/23/17,100078,13:24,13:49,ATL
3/24/17,100079,19:26,19:39,JFK
3/25/17,100080,17:28,18:02,LAX
3/26/17,100081,19:26,20:03,MNN
3/27/17,100082,10:16,10:53,SEA
3/28/17,100083,20:24,20:40,LAX
3/1/17,100084,6:24,6:38,ATL
3/2/17,100085,10:15,10:27,SEA
3/3/17,100086,7:10,7:48,ATL
3/4/17,100087,21:25,21:36,ATL
3/5/17,100088,7:07,7:24,ATL
3/6/17,100089,7:24,7:35,JFK
3/7/17,100090,20:17,20:23,ATL
3/8/17,100091,20:10,20:47,LAX
3/9/17,100092,12:22,12:44,ATL
3/10/17,100093,21:16,21:36,ORD
3/11/17,100094,14:29,15:09,MNN
3/12/17,100095,20:04,20:35,SEA
3/13/17,100096,18:14,18:39,LAX
3/14/17,100097,13:13,13:22,LAX
3/15/17,100098,15:25,15:37,SEA
3/16/17,100099,17:04,17:25,SEA
3/17/17,100100,20:07,20:18,SEA
3/18/17,100101,21:05,21:24,ORD
3/19/17,100102,19:16,19:46,SEA
3/20/17,100103,19:06,19:33,JFK
3/21/17,100104,8:23,8:51,JFK
3/22/17,100105,16:17,16:51,LAX
3/23/17,100106,6:12,6:38,ORD
3/24/17,100107,15:16,15:25,ATL
3/25/17,100108,13:28,13:39,LAX
