90210,15/12/2015,15mm
60601,7/12/2015,0.45ft
60601,12/12/2015,157mm
90210,9/12/2015,0.34ft
60601,10/12/2015,152mm
90210,1/12/2015,0.05ft
33101,25/12/2015,64mm
33101,27/12/2015,127mm
10001,1/12/2015,0.37ft
10001,20/12/2015,81mm
33101,12/12/2015,0.3ft
10001,13/12/2015,0.12ft
90210,21/12/2015,141mm
60601,6/12/2015,0.44ft
90210,9/12/2015,0.1ft
33101,16/12/2015,0.49ft
10001,8/12/2015,117mm
10001,24/12/2015,0.39ft
90210,25/12/2015,0.15ft
60601,12/12/2015,66mm
10001,15/12/2015,62mm
10001,5/12/2015,148mm
10001,11/12/2015,64mm
10001,17/12/2015,0.32ft
90210,21/12/2015,9mm
90210,1/12/2015,59mm
33101,12/12/2015,75mm
10001,4/12/2015,153mm
10001,3/12/2015,45mm
33101,20/12/2015,1mm
90210,21/12/2015,0.31ft
10001,2/12/2015,36mm
90210,7/12/2015,0.02ft
10001,27/12/2015,83mm
33101,22/12/2015,158mm
60601,3/12/2015,126mm
33101,3/12/2015,101mm
10001,21/12/2015,0.33ft
33101,23/12/2015,72mm
60601,14/12/2015,0.16ft
60601,14/12/2015,93mm
10001,13/12/2015,0.1ft
90210,14/12/2015,0.21ft
90210,13/12/2015,0.18ft
10001,5/12/2015,141mm
10001,21/12/2015,0.2ft
60601,24/12/2015,0.07ft
60601,6/12/2015,0.46ft
90210,13/12/2015,50mm
60601,5/12/2015,0.02ft
33101,11/12/2015,99mm
90210,23/12/2015,0.41ft
10001,21/12/2015,0.11ft
33101,20/12/2015,0.41ft
10001,19/12/2015,102mm
10001,13/12/2015,38mm
10001,24/12/2015,0.1ft
90210,22/12/2015,0.06ft
33101,18/12/2015,0.39ft
33101,10/12/2015,0.21ft
60601,15/12/2015,0.09ft
90210,20/12/2015,0.23ft
33101,25/12/2015,0.41ft
10001,26/12/2015,27mm
90210,5/12/2015,93mm
90210,26/12/2015,130mm
90210,2/12/2015,0.04ft
60601,25/12/2015,0.04ft
33101,21/12/2015,0.07ft
90210,20/12/2015,0.41ft
10001,5/12/2015,0.25ft
10001,22/12/2015,0.47ft
90210,27/12/2015,64mm
10001,11/12/2015,0.14ft
33101,5/12/2015,122mm
10001,19/12/2015,129mm
10001,11/12/2015,50mm
10001,13/12/2015,71mm
60601,13/12/2015,67mm
90210,25/12/2015,0.32ft
60601,28/12/2015,133mm
90210,9/12/2015,0.31ft
33101,24/12/2015,0.13ft
60601,19/12/2015,84mm
90210,15/12/2015,157mm
90210,10/12/2015,0.13ft
60601,24/12/2015,8mm
10001,5/12/2015,160mm
33101,14/12/2015,0.45ft
10001,16/12/2015,11mm
90210,2/12/2015,90mm
60601,4/12/2015,0.27ft
33101,19/12/2015,34mm
10001,12/12/2015,0.24ft
10001,1/12/2015,0.12ft
10001,15/12/2015,37mm
60601,13/12/2015,0.48ft
90210,21/12/2015,0.45ft
33101,20/12/2015,0.37ft
10001,6/12/2015,0.02ft
90210,13/12/2015,40mm
90210,25/12/2015,156mm
10001,5/12/2015,132mm
33101,27/12/2015,0.25ft
90210,10/12/2015,0.5ft
33101,23/12/2015,0.19ft
33101,24/12/2015,0.04ft
33101,6/12/2015,26mm
60601,8/12/2015,0.06ft
60601,23/12/2015,141mm
33101,22/12/2015,0.26ft
60601,10/12/2015,0.48ft
10001,3/12/2015,0.01ft
60601,8/12/2015,0.1ft
10001,24/12/2015,0.1ft
33101,11/12/2015,0.19ft
33101,16/12/2015,0.35ft
90210,14/12/2015,0.12ft
60601,26/12/2015,159mm
90210,19/12/2015,0.07ft
90210,4/12/2015,41mm
60601,5/12/2015,0.02ft
10001,23/12/2015,0.02ft
90210,24/12/2015,151mm
60601,7/12/2015,0.41ft
90210,28/12/2015,0.36ft
33101,4/12/2015,52mm
90210,2/12/2015,22mm
60601,16/12/2015,25mm
10001,10/12/2015,108mm
60601,1/12/2015,72mm
90210,23/12/2015,0.46ft
33101,28/12/2015,7mm
33101,1/12/2015,25mm
60601,16/12/2015,0.27ft
10001,23/12/2015,0.05ft
60601,6/12/2015,134mm
10001,10/12/2015,0.49ft
90210,12/12/2015,125mm
10001,16/12/2015,0.48ft
60601,19/12/2015,0.14ft
10001,23/12/2015,42mm
90210,21/12/2015,0.25ft
90210,21/12/2015,24mm
33101,13/12/2015,0.37ft
33101,21/12/2015,52mm
60601,9/12/2015,139mm
10001,13/12/2015,0.32ft
33101,5/12/2015,0.38ft
90210,12/12/2015,0.26ft
33101,22/12/2015,0.16ft
33101,15/12/2015,0.13ft
10001,5/12/2015,60mm
10001,9/12/2015,158mm
10001,24/12/2015,63mm
60601,20/12/2015,0.08ft
60601,7/12/2015,26mm
10001,22/12/2015,98mm
10001,5/12/2015,0.37ft
33101,9/12/2015,27mm
60601,7/12/2015,0.23ft
90210,13/12/2015,0.22ft
10001,17/12/2015,0.15ft
90210,5/12/2015,103mm
90210,24/12/2015,110mm
33101,28/12/2015,149mm
10001,22/12/2015,31mm
33101,14/12/2015,160mm
90210,14/12/2015,102mm
10001,9/12/2015,0.24ft
90210,20/12/2015,0.26ft
10001,21/12/2015,2mm
33101,27/12/2015,27mm
90210,9/12/2015,0.08ft
10001,17/12/2015,147mm
33101,18/12/2015,121mm
90210,21/12/2015,0.18ft
60601,14/12/2015,0.23ft
10001,13/12/2015,0.47ft
60601,21/12/2015,70mm
33101,13/12/2015,19mm
33101,14/12/2015,0.34ft
60601,4/12/2015,102mm
10001,26/12/2015,0.23ft
10001,5/12/2015,0.03ft
10001,16/12/2015,0.36ft
10001,12/12/2015,0.42ft
33101,15/12/2015,0.38ft
10001,25/12/2015,0.18ft
10001,9/12/2015,0.34ft
33101,22/12/2015,0mm
60601,12/12/2015,77mm
60601,16/12/2015,159mm
90210,22/12/2015,0.08ft
60601,28/12/2015,21mm
60601,26/12/2015,0.27ft
60601,21/12/2015,0.33ft
10001,3/12/2015,0.13ft
90210,19/12/2015,59mm
10001,25/12/2015,39mm
10001,13/12/2015,0.08ft
90210,22/12/2015,0.27ft
60601,7/12/2015,54mm
90210,24/12/2015,0.34ft
90210,18/12/2015,107mm
10001,27/12/2015,126mm
90210,16/12/2015,36mm
33101,8/12/2015,138mm
90210,6/12/2015,0.23ft
33101,22/12/2015,119mm
60601,14/12/2015,19mm
10001,21/12/2015,7mm
90210,20/12/2015,84mm
90210,17/12/2015,36mm
90210,7/12/2015,0.31ft
60601,4/12/2015,0.18ft
33101,25/12/2015,0.39ft
10001,10/12/2015,108mm
60601,18/12/2015,74mm
60601,12/12/2015,0.2ft
60601,28/12/2015,0.49ft
33101,26/12/2015,49mm
60601,23/12/2015,150mm
90210,26/12/2015,0.2ft
33101,18/12/2015,0.2ft
90210,1/12/2015,121mm
90210,26/12/2015,0.27ft
33101,20/12/2015,152mm
90210,7/12/2015,117mm
10001,4/12/2015,0.43ft
33101,25/12/2015,3mm
60601,28/12/2015,0.39ft
60601,28/12/2015,107mm
90210,11/12/2015,144mm
90210,16/12/2015,0.02ft
90210,25/12/2015,0.29ft
33101,15/12/2015,99mm
10001,16/12/2015,0.27ft
90210,21/12/2015,38mm
90210,14/12/2015,31mm
90210,7/12/2015,0.06ft
90210,9/12/2015,0.12ft
10001,2/12/2015,37mm
90210,10/12/2015,0.35ft
33101,22/12/2015,0.13ft
90210,23/12/2015,15mm
90210,21/12/2015,0.31ft
33101,10/12/2015,153mm
10001,28/12/2015,0.3ft
60601,12/12/2015,0.36ft
33101,22/12/2015,29mm
60601,21/12/2015,106mm
33101,13/12/2015,0.23ft
60601,26/12/2015,0.17ft
60601,2/12/2015,0.33ft
90210,25/12/2015,90in
